"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.3","2","315","135","134.51299999999998","-0.4870000000000232","-6.324000000000012","174.163","-5.836999999999989","-17.64","-1.3870000000000005","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","337.5","157.5","155.488","-2.0120000000000005","-7.8489999999999895","174.163","-5.836999999999989","-17.022","-0.7689999999999984","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.4","1","0","-180","-177.41199999999998","2.5880000000000223","-0.039","177.373","-2.6270000000000095","-16.501","0","0.05","4","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","22.5","-157.5","-157.402","0.09800000000001319","-2.529","177.373","-2.6270000000000095","-16.532","-0.030999999999998806","0.008","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","45","-135","-131.962","3.038000000000011","0.41100000000000136","177.373","-2.6270000000000095","-16.311","0.19000000000000128","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","67.5","-112.5","-111.431","1.0690000000000026","-1.558000000000007","177.373","-2.6270000000000095","-16.307","0.19400000000000261","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","90","-90","-86.585","3.4150000000000063","0.7879999999999967","177.373","-2.6270000000000095","-16.512","-0.010999999999999233","0.091","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","112.5","-67.5","-63.25999999999999","4.240000000000009","1.6129999999999995","177.373","-2.6270000000000095","-16.768","-0.26699999999999946","0.017","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","135","-45","-40.60899999999998","4.3910000000000196","1.76400000000001","177.373","-2.6270000000000095","-17.084","-0.5829999999999984","0.001","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","157.5","-22.5","-19.893","2.6069999999999993","-0.020000000000010232","177.373","-2.6270000000000095","-17.107","-0.6059999999999981","0.009","2","captures/pluto_phase_full_20260727_ch1_after_swap"
