"channel","commanded_phase_deg","mean_phase_error_deg","rms_phase_error_deg","max_abs_phase_error_deg","minimum_phase_error_deg","maximum_phase_error_deg","frequency_count"
"1","0","0.133125","0.2299100367535093","0.604","-0.039","0.604","8"
"1","22.5","0.09125000000000005","2.2947396911196702","4.302","-2.529","4.302","8"
"1","45","1.0462499999999988","1.2363393547080819","2.058","0.21099999999999852","2.058","8"
"1","67.5","0.33637499999999854","1.85220365375949","3.5450000000000017","-1.558000000000007","3.5450000000000017","8"
"1","90","0.03175000000000061","2.1690709992990063","4.918999999999997","-2.2249999999999943","4.918999999999997","8"
"1","112.5","-1.4173750000000016","2.747865649008337","4.528000000000006","-4.528000000000006","2.8419999999999987","8"
"1","135","-1.865124999999999","2.8676726408361204","4.608000000000004","-4.608000000000004","1.76400000000001","8"
"1","157.5","-1.7593749999999986","2.7263046188934905","4.902999999999992","-4.902999999999992","1.0730000000000075","8"
"1","180","-0.5321249999999971","3.2702089191670884","5.2479999999999905","-5.2479999999999905","4.171999999999997","8"
"1","202.5","-0.5685000000000038","3.9174478299015","6.574999999999989","-6.574999999999989","4.313999999999993","8"
"1","225","0.11374999999999957","3.136428103751142","4.913999999999987","-4.462999999999994","4.913999999999987","8"
"1","247.5","-0.5926249999999982","3.279768684678841","6.170999999999992","-6.170999999999992","3.3969999999999914","8"
"1","270","-0.6354999999999862","2.985333900922979","5.3659999999999854","-5.3659999999999854","3.4220000000000255","8"
"1","292.5","-2.532499999999999","3.900996347088774","7.558999999999969","-7.558999999999969","1.649000000000001","8"
"1","315","-3.4268750000000168","4.237470870106374","8.540999999999997","-8.540999999999997","0.0009999999999763531","8"
"1","337.5","-3.2518750000000054","3.9928403267598904","7.112000000000023","-7.112000000000023","-0.7420000000000186","8"
"2","0","-0.07187500000000001","0.09145695708911379","0.18","-0.18","-0.014","8"
"2","22.5","-0.6629999999999998","1.9571349595773915","3.8599999999999994","-2.34","3.8599999999999994","8"
"2","45","-0.07562499999999961","1.6084343707469073","2.564","-2.564","2.298000000000002","8"
"2","67.5","-0.6976250000000004","1.9308267982913416","2.823999999999998","-2.2650000000000006","2.823999999999998","8"
"2","90","-1.2642500000000005","2.8654016734133485","4.632000000000005","-4.2960000000000065","4.632000000000005","8"
"2","112.5","-2.490499999999999","3.3859354320482833","6.509","-6.509","1.222999999999999","8"
"2","135","-2.557624999999998","4.294129146287984","8.683999999999997","-8.683999999999997","1.108000000000004","8"
"2","157.5","-2.1824999999999974","4.203515611961015","8.39500000000001","-8.39500000000001","2.852000000000004","8"
"2","180","-1.6713749999999976","2.5282906033523878","5.836999999999989","-5.836999999999989","1.186000000000007","8"
"2","202.5","-2.168125","3.848617885033534","8.504999999999995","-8.504999999999995","2.0109999999999957","8"
"2","225","-1.6415000000000042","2.5767405282643434","4.490000000000009","-4.490000000000009","1.7479999999999905","8"
"2","247.5","-1.977375000000002","2.8044386916101383","5.014999999999986","-5.014999999999986","0.4329999999999927","8"
"2","270","-1.907375000000009","2.1972619040524157","3.396000000000015","-3.396000000000015","-0.33499999999997954","8"
"2","292.5","-3.2249999999999943","3.538760270207626","5.437999999999988","-5.437999999999988","-1.0740000000000123","8"
"2","315","-3.7033750000000154","4.635094268189173","7.893000000000029","-7.893000000000029","0.7869999999999777","8"
"2","337.5","-3.376874999999991","4.8216366386321505","7.8799999999999955","-7.8799999999999955","2.6200000000000045","8"
