"frequency_ghz","channel","commanded_phase_deg","measured_phase_magnitude_deg","phase_error_deg","tone_level_dbfs","amplitude_delta_db","circular_std_deg","sample_count","source_directory"
"2.4","1","225","222.632","-2.367999999999995","-16.592","-0.09099999999999753","0.004","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","247.5","243.11","-4.389999999999986","-16.59","-0.08899999999999864","0.004","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","270","268.579","-1.4209999999999923","-16.84","-0.33899999999999864","0","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","292.5","291.391","-1.1089999999999804","-17.064","-0.5629999999999988","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","315","313.28","-1.7200000000000273","-17.372","-0.8709999999999987","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","337.5","333.905","-3.5950000000000273","-17.288","-0.786999999999999","0.009","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","2","0","-0.02","-0.02","-17.22","0","0.032","4","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","22.5","20.16","-2.34","-17.294","-0.07400000000000162","0.015","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","45","45.039","0.03900000000000148","-17.1","0.11999999999999744","0.001","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","67.5","65.318","-2.182000000000002","-17.094","0.12599999999999767","0.002","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","90","89.424","-0.5759999999999934","-17.29","-0.07000000000000028","0.002","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","112.5","112.822","0.32200000000000273","-17.38","-0.16000000000000014","0.013","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","135","135.758","0.7580000000000098","-17.645","-0.4250000000000007","0","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","157.5","157.198","-0.3019999999999925","-17.679","-0.45899999999999963","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","180","177.448","-2.5519999999999925","-17.387","-0.1670000000000016","0.005","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","202.5","197.451","-5.049000000000007","-17.44","-0.22000000000000242","0.001","2","captures/pluto_phase_full_20260727_ch2_after_swap"
